Case,Overshoot_percent,PeakTime_s,SettlingTime_s,FinalValue,SteadyStateError
标准二阶系统,16.3033065163562,3.63,8.07634309833801,1,0
附加极点远离虚轴,15.9390863058737,3.85,8.26117525018474,1,0
附加极点接近原极点,0,30,9.13885944785479,1,0
附加极点成为主导极点,0,30,20.4297985043759,1,0
一阶系统对照,0,30,19.5601151408744,1,0
